User,A,B,C,D,E,Avg
Zeyu,0.13333333333333333,0.0,0.4,0.0,0.6666666666666666,0.24
Zeyu,0.13333333333333333,0.0,0.4,0.0,0.4,0.18666666666666668
Zeyu,0.06666666666666668,0.06666666666666668,0.26666666666666666,0.06666666666666668,0.5333333333333333,0.2
Zeyu,0.06666666666666668,0.0,0.6666666666666666,0.2,0.06666666666666668,0.2
Zeyu,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,0.5333333333333333,0.14666666666666667
Zeyu,0.13333333333333333,0.0,0.06666666666666668,0.06666666666666668,0.6666666666666666,0.18666666666666668
Zeyu,0.13333333333333333,0.0,0.3333333333333333,0.13333333333333333,0.4,0.2
Zeyu,0.2,0.0,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.21333333333333326
Zeyu,0.0,0.0,0.6666666666666666,0.06666666666666668,0.2,0.18666666666666668
Zeyu,0.06666666666666667,0.0,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.16
